group,family,size,direction,depth,materialization,mode,implementation,samples,completed,timeouts,failures,planned_answers,definitive_answers,unknown_answers,resource_answers,facts_min,facts_max,definitive_coverage,wall_ms_q25,wall_ms_median,wall_ms_q75,peak_rss_kib_q25,peak_rss_kib_median,peak_rss_kib_q75,load_ms_q25,load_ms_median,load_ms_q75,query_ms_q25,query_ms_median,query_ms_q75,certificate_ms_q25,certificate_ms_median,certificate_ms_q75,withdrawal_ms_q25,withdrawal_ms_median,withdrawal_ms_q75,reassertion_ms_q25,reassertion_ms_median,reassertion_ms_q75,reopen_ms_q25,reopen_ms_median,reopen_ms_q75,bytes_q25,bytes_median,bytes_q75,steps_q25,steps_median,steps_q75,validation_ms_q25,validation_ms_median,validation_ms_q75,serialization_ms_q25,serialization_ms_median,serialization_ms_q75
comparison,chain,8,backward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,8,8,1.0,4.332665999754681,4.498374000831973,4.605963998983498,7756.0,7756.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,8,backward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,34.97033300118346,35.979214997496456,36.621363999074674,4900.0,4900.0,4900.0,0.4903495,0.513723,0.5801810000000001,30.718102000000002,31.41178,31.959426,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,8,backward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,8,8,1.0,4.161893501077429,4.269738998118555,4.516412000157288,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,8,forward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,8,8,1.0,4.597662000378477,4.782635000083246,5.098311499750707,7756.0,7884.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,8,forward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,8,8,1.0,2910.377107000386,3504.2411419999553,5104.2733550002595,6820.0,6820.0,6948.0,0.5474005,0.5533330000000001,0.6093149999999999,2904.24518,3499.316065,5097.6249325,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,8,forward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,8,8,1.0,4.324093500144954,4.860076998738805,4.995178499484609,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,12,backward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,12,12,1.0,4.398114999276004,4.608767001627712,4.871969999840076,7756.0,7884.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,12,backward,10,True,verdict,nibli,15,15,0,0,15,15,0,0,12,12,1.0,97.76172400052019,100.33030399790732,104.46164200038766,5284.0,5284.0,5284.0,0.759949,0.815389,0.845746,93.42003700000001,95.955585,99.3646035,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,12,backward,10,True,verdict,souffle,15,15,0,0,15,15,0,0,12,12,1.0,4.161038999882294,4.320732001360739,4.522347499005264,5692.0,5692.0,5692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,chain,12,forward,10,True,verdict,clingo,15,15,0,0,15,15,0,0,12,12,1.0,4.775633999088313,5.341462998330826,5.4458285003420315,7756.0,7756.0,7884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
